"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"115.086623788506/97.7179600196504",0.0094122,0.038844,-0.011272,-0.0036357,0.0015805,-0.020239,0.0012341,0.031393,0.0034239,-0.0036627
"115.571323674051/82.741738420446",-0.019812,-0.00061526,-0.020634,0.029968,0.0054205,0.012131,-0.026927,0.031742,-0.032034,-0.0089847
"115.88376731903/145.4414853655",-0.030735,0.0080669,0.0058986,0.0096278,0.024367,-0.0015432,-0.0098927,0.0065264,0.0031625,-0.0070763
"116.034234335138/84.8914695953819",-0.03032,0.015883,-0.0082094,-0.015637,0.010047,0.0043753,-0.0019614,-0.0079705,0.0011282,-0.0087474
"116.648733998128/123.265802430874",0.00067751,0.02783,0.0040476,-0.023902,0.0070409,0.039223,-0.01566,-0.029163,-0.032976,-0.0026095
"116.655846102816/78.038026189476",0.0069547,-0.027105,0.026594,0.0095878,0.0012677,0.013639,0.04941,-0.00032668,0.020229,0.0084211
"116.661143401093/92.5906888084669",-0.016962,-0.026402,-0.011445,-0.0086327,0.014801,0.0042908,0.033316,0.017155,0.035406,0.0032774
"116.86659271582/105.422976126374",-0.0073047,-0.018182,-0.033348,-0.024135,-0.023681,0.0025964,-0.0146,0.034226,-0.032521,-0.021276
"117.093823645913/61.2090741429611",-0.027391,-0.0045973,0.0075114,0.012041,-0.0042772,0.021718,-0.036686,0.0039234,-0.016106,-0.0082156
"117.097582022258/81.3446169875142",0.014985,0.016692,0.015762,-0.00066646,-0.020408,0.037727,-0.0021806,0.019594,0.047287,0.01776
"117.107489416707/53.8886714275066",0.0072345,0.0083702,-0.0034014,0.020331,-0.0020876,0.026391,0.026048,0.062759,0.031506,-0.0054843
"117.111122742419/96.9515747510177",-0.0057737,-0.023373,-0.011467,-0.0096422,0.036593,-0.01182,0.040874,0.034527,-0.002431,0.0076414
"117.125320974842/72.9244019987657",0.0065604,-0.0073465,0.03117,0.022596,-0.0069828,-0.016475,-0.028113,-0.051699,-0.026533,0.0064482
"117.153995833599/62.0182507847469",-0.01073,-0.0004062,-0.0047783,0.0084441,-0.024542,-0.0050949,0.064213,0.02887,-0.023793,0.012674
"117.743769219425/63.8053642004756",-0.0154,-0.024733,0.011369,0.008979,0.0052228,0.036702,0.033354,-0.025594,-0.00062169,0.004591
"117.990447182161/105.350131345705",-0.028713,-0.013424,-0.016432,-0.0086386,-0.0052232,0.019203,0.020902,-0.00089742,-0.0017665,-0.0079805
"118.049846544299/146.750700451609",0.0039941,0.0050185,0.030276,0.0066805,0.043013,-0.035028,-0.016369,-0.029675,0.018026,-0.0079967
"118.062520806163/63.1697704457412",-0.029915,0.021275,0.0032855,0.0060095,0.0052263,-0.0075007,-0.0010742,0.00046711,-0.00020939,-0.00025311
"118.065095052077/39.1789231038844",-0.027725,0.016759,-0.016423,-0.020853,-0.0080495,0.011442,-0.0080918,-0.00056085,-0.012216,-0.0011584
"118.086220911812/64.4970233506679",-0.0247,0.031038,0.0061178,0.0064213,-0.0052887,-0.0063731,0.002136,-0.0057061,-0.0011598,0.0065425
"118.098872865436/229.53612685339",-0.025034,-0.026988,-0.0042676,0.0028729,-0.020897,-0.0032289,-0.0048826,-0.01361,0.0094338,0.0056727
"118.1098487204/56.3463174514717",-0.027997,0.022427,-0.0045372,0.017859,-0.0053339,0.0014017,0.012721,0.0014601,0.00218,0.0017076
"118.122607034721/223.7007693403",0.0050318,0.0086091,-0.03394,0.045078,0.007737,-0.0011351,-0.0054489,-0.041059,0.015593,0.00080713
"118.889038696625/56.6125066751292",-0.0023131,-0.012323,0.03647,0.024701,-0.038715,-0.029677,-0.016042,-0.010298,-0.0027215,-0.0039447
"119.001074140262/123.885814360406",0.018775,-0.0075713,-0.00011766,0.0024348,0.010192,0.0080518,-0.0034926,-0.0083126,0.073858,0.0095903
"119.081539904225/171.41513828001",0.0054694,-0.023829,0.02524,-0.030004,0.025311,0.0056898,0.023041,-0.036969,0.0019679,-0.011416
"119.083357438442/62.4936238943776",-0.023229,0.019495,0.03458,-0.0037431,0.015442,0.0016543,-5.1242e-05,-0.0096021,-0.0055612,-0.0025849
"119.089671060396/52.6887138697839",-0.027732,0.026801,-0.0021993,0.0021546,-0.002012,-0.0061315,0.0020291,0.0022602,-9.5706e-05,-0.0032547
"119.092529448/64.1842110614341",-0.017729,0.020697,0.041572,-0.0059955,0.019011,0.0086634,0.00070115,-0.010327,-0.0025252,-0.012508
"119.12601558676/204.345135054402",-0.0044299,-0.014418,-0.029463,0.041288,-0.0058434,-0.021223,-0.014678,0.013501,0.042463,0.0015174
"119.126048602973/251.587563542465",-0.007829,-0.02047,-0.004181,0.048891,-0.027373,-0.025167,0.0098232,0.015635,0.0020507,-0.0050237
"119.502746586722/116.481407904701",-0.0072959,-0.019204,-0.009894,-0.05375,0.011011,-0.022114,0.0062764,0.018294,-0.021204,0.0014986
"119.514405952162/109.801077017819",0.015812,0.0042391,-0.014585,-0.012727,-0.035603,0.038365,-0.00024849,0.014215,0.040597,0.0035122
"120.012813158537/110.259862984793",0.030381,0.0029525,0.02575,-0.010858,0.0030431,0.0026536,-0.0044192,-0.0078065,-0.0037406,0.010878
"120.044394838938/31.3117896929622",-0.013817,0.0418,0.0016495,-0.0027553,-0.0041833,-0.0062775,0.0067885,0.010955,-0.0013027,-0.0073194
"120.065569248837/64.0091291918488",-0.017475,0.038523,-0.0040418,0.0026815,-0.0098879,-0.012297,0.0021327,0.0076362,0.0014135,-0.011474
"120.080811130712/52.9447904954522",-0.017853,0.039552,-0.00052162,-0.0017189,-0.0042068,-0.0026716,0.0035495,-0.0024388,-0.002611,-0.0038154
