"","V","p.value","-log10(p)","FDR"
"628.951089355828/66.9823783804678",22,0.044909,1.3477,0.26221
"631.913999124033/68.5407891957343",22,0.044909,1.3477,0.26221
"665.906852972421/68.9135078754679",22,0.044909,1.3477,0.26221
"693.922980730664/67.9866402335494",22,0.044909,1.3477,0.26221
"713.064365020121/53.1879145547951",22,0.044909,1.3477,0.26221
"716.022012821771/53.7421656196782",22,0.044909,1.3477,0.26221
"733.893625508513/68.9002785007998",22,0.044909,1.3477,0.26221
"823.796133461778/75.8231791839732",22,0.044909,1.3477,0.26221
"119.001074140262/123.885814360406",2.5,0.046533,1.3322,0.27043
"293.097815601925/265.267691457252",2.5,0.046533,1.3322,0.27043
"113.533248792909/136.583536362907",22,0.052412,1.2806,0.27116
"871.877097587129/68.5893013767618",22,0.052412,1.2806,0.27116
"97.9913528195963/187.777417643873",22,0.053937,1.2681,0.27116
"98.721164290326/244.134026489549",3,0.055556,1.2553,0.27116
"104.087278734297/44.6433827881895",22,0.055556,1.2553,0.27116
"106.11366224834/53.5015718475362",22,0.055556,1.2553,0.27116
"126.034771534404/108.694519836555",3,0.055556,1.2553,0.27116
"131.129172303174/79.436378689575",22,0.055556,1.2553,0.27116
"134.11754044887/214.367071781703",3,0.055556,1.2553,0.27116
"140.027638672753/114.158010508911",3,0.055556,1.2553,0.27116
"146.027096332595/38.4280439660961",22,0.055556,1.2553,0.27116
"160.060418878716/116.329356091669",3,0.055556,1.2553,0.27116
"163.061711966147/42.8863727053202",22,0.055556,1.2553,0.27116
"169.080300943175/52.0486253572382",22,0.055556,1.2553,0.27116
"186.007443888716/129.95420795605",22,0.055556,1.2553,0.27116
"189.070302469919/107.527319282478",22,0.055556,1.2553,0.27116
"189.123427108975/48.9200997883296",22,0.055556,1.2553,0.27116
"205.108701643738/39.1959283378009",22,0.055556,1.2553,0.27116
"208.039530037686/118.231118116467",22,0.055556,1.2553,0.27116
"210.999420879606/147.449874315113",22,0.055556,1.2553,0.27116
"216.123156839262/228.753151855445",22,0.055556,1.2553,0.27116
"220.118013831075/29.7570086923611",22,0.055556,1.2553,0.27116
"227.044833180844/64.7200311311811",22,0.055556,1.2553,0.27116
"236.095843035876/142.965473699464",3,0.055556,1.2553,0.27116
"251.173464117299/81.7350705977098",22,0.055556,1.2553,0.27116
"252.9881161174/62.8611721505181",22,0.055556,1.2553,0.27116
"260.160639343849/49.50189681312",22,0.055556,1.2553,0.27116
"277.938710305445/118.847038053255",3,0.055556,1.2553,0.27116
"282.249094393313/152.80825076624",22,0.055556,1.2553,0.27116
"284.294831951091/22.8452978258101",22,0.055556,1.2553,0.27116
"294.095127285514/108.838310918377",3,0.055556,1.2553,0.27116
"294.101069361475/269.647581107922",3,0.055556,1.2553,0.27116
"315.079851536016/115.385153189459",3,0.055556,1.2553,0.27116
"340.232888967995/27.5069476875271",3,0.055556,1.2553,0.27116
"343.399861643405/138.329633184807",22,0.055556,1.2553,0.27116
"357.007827951278/271.825743375257",3,0.055556,1.2553,0.27116
"359.887023066562/138.390762184487",22,0.055556,1.2553,0.27116
"365.157094273162/39.8316202554128",3,0.055556,1.2553,0.27116
"371.23738949369/35.5091183348205",22,0.055556,1.2553,0.27116
"372.91210863156/61.1995257379749",22,0.055556,1.2553,0.27116
"381.726207278127/36.9425117289605",3,0.055556,1.2553,0.27116
"384.93790422245/63.1566671797863",22,0.055556,1.2553,0.27116
"396.16182676268/60.2834428112544",22,0.055556,1.2553,0.27116
"398.274729296501/33.1737606972767",22,0.055556,1.2553,0.27116
"400.913889165815/135.570363203761",22,0.055556,1.2553,0.27116
"422.237984304434/42.2193136945473",3,0.055556,1.2553,0.27116
"427.008463277233/69.8498943874271",3,0.055556,1.2553,0.27116
"430.832363523404/136.407842058127",22,0.055556,1.2553,0.27116
"440.628378424551/59.2473779977976",3,0.055556,1.2553,0.27116
"474.831943680083/33.7417689098442",3,0.055556,1.2553,0.27116
"491.792053314351/37.934900519543",3,0.055556,1.2553,0.27116
"517.797427143191/162.635539140768",3,0.055556,1.2553,0.27116
"531.275225907809/26.6449725119555",22,0.055556,1.2553,0.27116
"531.855910939824/32.3208209957868",3,0.055556,1.2553,0.27116
"533.842996049715/39.2277888580592",22,0.055556,1.2553,0.27116
"547.342808559616/37.236041984536",22,0.055556,1.2553,0.27116
"565.816766027375/38.5523986029012",3,0.055556,1.2553,0.27116
"566.364392466746/27.9837792122271",3,0.055556,1.2553,0.27116
"577.843282736201/50.4752885189812",22,0.055556,1.2553,0.27116
"614.857351017322/69.9969342079222",3,0.055556,1.2553,0.27116
"626.627252944106/55.7043031978885",3,0.055556,1.2553,0.27116
"627.919515988301/32.1063637388866",22,0.055556,1.2553,0.27116
"639.94445738601/82.208849690265",3,0.055556,1.2553,0.27116
"648.80054241643/87.7351383776468",3,0.055556,1.2553,0.27116
"656.338298350854/25.7292831200147",22,0.055556,1.2553,0.27116
"661.922015573548/89.1682644949256",3,0.055556,1.2553,0.27116
"674.556286011515/55.6234255593813",3,0.055556,1.2553,0.27116
"729.104734278823/61.7731097277738",22,0.055556,1.2553,0.27116
"729.561783221475/31.0290393944442",22,0.055556,1.2553,0.27116
"750.485904588922/56.1710249919634",3,0.055556,1.2553,0.27116
"750.541144894785/28.8740730524814",22,0.055556,1.2553,0.27116
"760.585243085359/38.4503579390532",22,0.055556,1.2553,0.27116
"770.569512779332/34.2420832095891",22,0.055556,1.2553,0.27116
"783.478784414592/55.3931502592916",3,0.055556,1.2553,0.27116
"807.582869512686/40.7604050376403",22,0.055556,1.2553,0.27116
"813.332032637475/67.5547957018987",3,0.055556,1.2553,0.27116
"826.544229711146/31.7425459969871",22,0.055556,1.2553,0.27116
"827.539974515127/34.029605535284",22,0.055556,1.2553,0.27116
"828.793716043651/88.5020266597683",3,0.055556,1.2553,0.27116
"863.798485060954/67.4303435404035",3,0.055556,1.2553,0.27116
"1050.78860633159/67.5512336960127",3,0.055556,1.2553,0.27116
"1112.79457483416/68.3793939684816",3,0.055556,1.2553,0.27116
"92.0256039311104/138.459379294148",22,0.057008,1.2441,0.27304
"506.801083684749/67.4403041842598",22,0.057008,1.2441,0.27304
"515.858250825631/42.5013853083568",3,0.057008,1.2441,0.27304
"621.439790378588/28.5951095838893",3,0.057008,1.2441,0.27304
"690.8941142449/67.4329491692394",22,0.057008,1.2441,0.27304
"706.966616217896/67.253502441924",22,0.057008,1.2441,0.27304
"860.459488719298/56.016508568049",22,0.057008,1.2441,0.27304
"767.886865442109/68.2556842125857",21.5,0.057347,1.2415,0.27304
"435.29524958407/24.7146560895633",3,0.058553,1.2325,0.27304
"664.458828045518/26.7242202585263",3,0.058553,1.2325,0.27304
"131.010719141792/207.608850797089",3,0.059327,1.2267,0.27304
"198.087389876202/70.4988548355341",22,0.059327,1.2267,0.27304
"232.173566182019/34.3701468925432",22,0.059327,1.2267,0.27304
"284.620794016395/145.084893229014",22,0.059327,1.2267,0.27304
"292.873052814911/72.9526224139772",3,0.059327,1.2267,0.27304
"359.315322812832/95.1993667726735",22,0.059327,1.2267,0.27304
"390.874131384842/40.8353779676597",3,0.059327,1.2267,0.27304
"453.210328079469/37.790105485056",3,0.059327,1.2267,0.27304
"454.748437051385/55.8330002885788",3,0.059327,1.2267,0.27304
"524.985916143129/68.5394403428376",3,0.059327,1.2267,0.27304
"692.8842798113/61.8057689522343",22,0.059327,1.2267,0.27304
"714.797256717031/69.7033270686279",3,0.059327,1.2267,0.27304
"716.837709118415/69.3069730000948",3,0.059327,1.2267,0.27304
"735.312263250967/67.9579752493056",3,0.059327,1.2267,0.27304
"736.665321768389/61.652676425879",3,0.059327,1.2267,0.27304
"754.796943517115/92.923445255483",3,0.059327,1.2267,0.27304
"948.753802601662/82.3845982567178",3,0.059327,1.2267,0.27304
"954.742303405999/66.4611708147727",3,0.059327,1.2267,0.27304
"994.712336931576/82.802448629431",3,0.059327,1.2267,0.27304
"1134.6495962194/83.3492858211898",3,0.059327,1.2267,0.27304
"1166.6782821236/93.0638846127982",3,0.059327,1.2267,0.27304
"148.439100140624/150.334967360413",21.5,0.066955,1.1742,0.29099
"156.961485896351/135.639243359553",21.5,0.066955,1.1742,0.29099
"202.885900754289/65.7792058304293",3.5,0.066955,1.1742,0.29099
"217.572299104861/107.721072277135",21.5,0.066955,1.1742,0.29099
"305.411842477344/148.845727594496",3.5,0.066955,1.1742,0.29099
"364.745505624272/61.3227859704659",3.5,0.066955,1.1742,0.29099
"373.905539839753/63.1875390072298",21.5,0.066955,1.1742,0.29099
"390.831982227403/70.7218229359557",3.5,0.066955,1.1742,0.29099
"396.693451954375/60.5370068219394",3.5,0.066955,1.1742,0.29099
"449.649344152906/56.7916454524128",3.5,0.066955,1.1742,0.29099
"470.972417905385/68.9228680428082",3.5,0.066955,1.1742,0.29099
"615.8773174284/68.4542789173385",3.5,0.066955,1.1742,0.29099
"661.812359920965/69.1753896978821",3.5,0.066955,1.1742,0.29099
"691.332871853555/70.2596916751356",3.5,0.066955,1.1742,0.29099
"710.345977970752/53.1414009969841",3.5,0.066955,1.1742,0.29099
"714.028553756829/53.7349683005595",21.5,0.066955,1.1742,0.29099
"721.68303634579/139.090746082398",21.5,0.066955,1.1742,0.29099
"731.997892779145/53.9725821938318",21.5,0.066955,1.1742,0.29099
"735.992423142695/44.2547180912705",21.5,0.066955,1.1742,0.29099
"752.927764487089/53.5431033088792",21.5,0.066955,1.1742,0.29099
"756.519432592703/53.4520460733936",3.5,0.066955,1.1742,0.29099
"921.296055752747/68.7242211171125",3.5,0.066955,1.1742,0.29099
"923.302841718575/68.057638986508",3.5,0.066955,1.1742,0.29099
"932.393121175615/55.8591880721953",3.5,0.066955,1.1742,0.29099
"1068.71720378743/92.4170324313741",3.5,0.066955,1.1742,0.29099
"1087.75242539037/68.3559436015149",3.5,0.066955,1.1742,0.29099
"1090.67580500237/83.3762336824671",3.5,0.066955,1.1742,0.29099
"1093.77031248252/67.7600072411796",3.5,0.066955,1.1742,0.29099
"1131.23102027687/55.5023939181851",3.5,0.066955,1.1742,0.29099
"1143.73496888552/68.3130854161125",3.5,0.066955,1.1742,0.29099
"1166.68894713953/80.8259621493292",3.5,0.066955,1.1742,0.29099
"1230.09289189103/68.1688432461741",3.5,0.066955,1.1742,0.29099
"125.98628236383/143.941494591332",21.5,0.074026,1.1306,0.31946
"217.075386342193/146.019909759366",21,0.074639,1.127,0.31946
"293.097784492724/111.021105352565",4,0.074639,1.127,0.31946
"520.776139063031/63.0340165318652",21,0.074639,1.127,0.31946
"722.977755663309/53.7153606531634",21,0.074639,1.127,0.31946
"732.888960471512/52.5645422126643",21,0.074639,1.127,0.31946
"907.160606349269/67.7891720889257",21,0.074639,1.127,0.31946
"920.560839746517/51.122765175766",21,0.074639,1.127,0.31946
"373.901997949658/138.419377831376",3.5,0.074913,1.1254,0.31946
"536.320904829388/37.3687825200066",3.5,0.074913,1.1254,0.31946
"746.794504426751/64.2090122725501",21.5,0.074913,1.1254,0.31946
"115.88376731903/145.4414853655",21,0.08467,1.0723,0.31946
"138.93537980156/138.924764152571",21,0.08467,1.0723,0.31946
"622.434602066346/31.0565686487739",21,0.08467,1.0723,0.31946
"657.796177111716/68.5832780532121",21,0.08467,1.0723,0.31946
"732.593483746087/45.1603113805701",21,0.08467,1.0723,0.31946
"754.919438350231/54.0459877422481",21,0.08467,1.0723,0.31946
"90.5315547095888/276.825175870608",21,0.090688,1.0424,0.31946
"122.986617965905/133.064136980725",21,0.090688,1.0424,0.31946
"198.876099241542/69.3444374450632",4,0.090688,1.0424,0.31946
"282.621889385483/117.592424028918",4,0.090688,1.0424,0.31946
"310.96124300675/66.8880155747347",21,0.090688,1.0424,0.31946
"322.862672554452/65.803570101727",4,0.090688,1.0424,0.31946
"331.035666530568/64.2049555849918",4,0.090688,1.0424,0.31946
"338.86086409972/79.0553164186991",4,0.090688,1.0424,0.31946
"358.863260258763/60.3328568619959",4,0.090688,1.0424,0.31946
"364.800560969808/58.0804360304263",4,0.090688,1.0424,0.31946
"374.858171729812/76.8403419106508",4,0.090688,1.0424,0.31946
"442.84558403231/73.6020431320106",4,0.090688,1.0424,0.31946
"445.840866322697/65.6185967859242",21,0.090688,1.0424,0.31946
"467.965326153566/125.930565880752",21,0.090688,1.0424,0.31946
"479.383573488414/48.6107504350758",4,0.090688,1.0424,0.31946
"488.850806077045/69.2703052973494",4,0.090688,1.0424,0.31946
"505.871585908772/71.2787034577605",4,0.090688,1.0424,0.31946
"507.860648611515/71.1137608300038",4,0.090688,1.0424,0.31946
"510.833154276417/72.2681819018005",4,0.090688,1.0424,0.31946
"524.868263026056/57.8966534583575",21,0.090688,1.0424,0.31946
"554.860893606736/58.8385415584381",4,0.090688,1.0424,0.31946
"568.801392243454/71.3670160519392",4,0.090688,1.0424,0.31946
"594.838610291889/77.5568138843266",4,0.090688,1.0424,0.31946
"605.018277874523/62.306933575792",4,0.090688,1.0424,0.31946
"674.810002255572/66.8371391027084",4,0.090688,1.0424,0.31946
"716.533887313426/56.0351697441462",4,0.090688,1.0424,0.31946
"718.982464403/62.040626836307",21,0.090688,1.0424,0.31946
"734.86840496744/59.1407286817902",21,0.090688,1.0424,0.31946
"746.537286433954/55.6698205125057",4,0.090688,1.0424,0.31946
"747.81426644603/68.5662610613661",4,0.090688,1.0424,0.31946
"796.513149364018/41.3075567561539",21,0.090688,1.0424,0.31946
"814.681111244493/59.9946062007236",4,0.090688,1.0424,0.31946
"822.42406893763/55.826537950708",4,0.090688,1.0424,0.31946
"933.758513340693/67.4274022515185",21,0.090688,1.0424,0.31946
"976.37585605996/55.691028309537",4,0.090688,1.0424,0.31946
"1064.76173592435/68.5810763641919",4,0.090688,1.0424,0.31946
"1070.70730623791/78.2145505391612",4,0.090688,1.0424,0.31946
"1092.68888760882/80.7047234854218",4,0.090688,1.0424,0.31946
"1154.2706290905/68.2437281083464",4,0.090688,1.0424,0.31946
"1158.75625580983/68.3653916694303",4,0.090688,1.0424,0.31946
"1195.24877314521/68.411795494753",4,0.090688,1.0424,0.31946
"175.119009925093/90.5075354213117",21,0.092692,1.033,0.31946
"662.823360800707/45.3996587730959",4,0.092692,1.033,0.31946
"217.154726786927/39.5248372699743",21,0.093693,1.0283,0.31946
"261.623409918059/117.021154893443",4,0.093693,1.0283,0.31946
"275.960585652255/116.351119405562",4,0.093693,1.0283,0.31946
"337.981090209901/69.8176298994892",21,0.093693,1.0283,0.31946
"362.222227346362/35.8418633664399",21,0.093693,1.0283,0.31946
"392.885196897763/142.656399490115",4,0.093693,1.0283,0.31946
"397.018138119223/70.6924123810117",4,0.093693,1.0283,0.31946
"434.865738826588/64.3107519998283",21,0.093693,1.0283,0.31946
"450.838936803807/63.5491815158111",21,0.093693,1.0283,0.31946
"648.847095918748/69.3316652925652",4,0.093693,1.0283,0.31946
"744.551469823629/34.7769063956038",21,0.093693,1.0283,0.31946
"764.525987074075/32.7932263418917",21,0.093693,1.0283,0.31946
"1071.1211192158/68.0473168713348",4,0.093693,1.0283,0.31946
"89.0293639248993/172.697212518952",21,0.095238,1.0212,0.31946
"90.5206191654871/136.469637168026",21,0.095238,1.0212,0.31946
"95.0267431459666/111.455209937429",4,0.095238,1.0212,0.31946
"99.5123573155918/221.778958500439",4,0.095238,1.0212,0.31946
"108.410497981272/125.788617319845",4,0.095238,1.0212,0.31946
"119.092529448/64.1842110614341",21,0.095238,1.0212,0.31946
"135.030416989845/57.3572870377519",21,0.095238,1.0212,0.31946
"140.526085690607/111.324642349541",4,0.095238,1.0212,0.31946
"146.165222790637/273.892214178632",4,0.095238,1.0212,0.31946
"151.09654001628/218.417598452162",21,0.095238,1.0212,0.31946
"152.032294421397/105.423585868432",4,0.095238,1.0212,0.31946
"155.106668761083/207.461013866362",21,0.095238,1.0212,0.31946
"158.037307341673/115.78226834804",4,0.095238,1.0212,0.31946
"160.060481557256/275.384157555581",4,0.095238,1.0212,0.31946
"176.055426230314/276.81618159413",21,0.095238,1.0212,0.31946
"177.069282758369/188.575630996689",21,0.095238,1.0212,0.31946
"178.511059136431/266.957194090235",4,0.095238,1.0212,0.31946
"179.508368166998/272.198682901905",4,0.095238,1.0212,0.31946
"195.087646806135/258.796610628797",21,0.095238,1.0212,0.31946
"200.920133991318/116.537475020359",4,0.095238,1.0212,0.31946
"210.011772032782/49.1858148833228",21,0.095238,1.0212,0.31946
"214.060888388676/237.867080997349",21,0.095238,1.0212,0.31946
"218.138760918202/40.5965305394033",21,0.095238,1.0212,0.31946
"220.149944061344/30.2600821760739",21,0.095238,1.0212,0.31946
"226.861812570693/56.9841536390052",4,0.095238,1.0212,0.31946
"238.058678062183/108.16487242739",21,0.095238,1.0212,0.31946
"240.161445403195/143.614768303716",21,0.095238,1.0212,0.31946
"245.919622857218/138.019051472268",21,0.095238,1.0212,0.31946
"254.018762734111/102.530471007392",4,0.095238,1.0212,0.31946
"254.899446554194/43.1352413685844",4,0.095238,1.0212,0.31946
"263.515534444803/152.174742599883",4,0.095238,1.0212,0.31946
"266.432909475186/137.88230304095",21,0.095238,1.0212,0.31946
"267.057140653096/79.8686313377423",21,0.095238,1.0212,0.31946
"295.101895735548/123.79341113789",4,0.095238,1.0212,0.31946
"295.165074432486/39.1005147664802",21,0.095238,1.0212,0.31946
"302.207433259886/40.5619787346326",21,0.095238,1.0212,0.31946
"313.273859834191/22.817598411545",21,0.095238,1.0212,0.31946
"315.079830753688/265.092437348011",4,0.095238,1.0212,0.31946
"316.223215802242/39.6153038339837",21,0.095238,1.0212,0.31946
"329.031581012084/69.5899070130349",4,0.095238,1.0212,0.31946
"330.238601583341/38.1349883855615",21,0.095238,1.0212,0.31946
"332.206586260726/21.8758904217172",21,0.095238,1.0212,0.31946
"332.217891832565/40.5149784675996",21,0.095238,1.0212,0.31946
"344.254467123891/36.1710379907853",21,0.095238,1.0212,0.31946
"349.183407875281/48.902702831769",4,0.095238,1.0212,0.31946
"362.869961679636/135.916072477417",21,0.095238,1.0212,0.31946
"364.970183382136/48.3425783881853",21,0.095238,1.0212,0.31946
"367.991593674514/98.7156883245363",4,0.095238,1.0212,0.31946
"392.994920181173/80.7735897592891",4,0.095238,1.0212,0.31946
"402.824695300989/58.3088187441841",4,0.095238,1.0212,0.31946
"403.739692618811/36.9676889588481",4,0.095238,1.0212,0.31946
"414.976646235043/81.3103531026834",21,0.095238,1.0212,0.31946
"424.278143786367/35.9809437206205",21,0.095238,1.0212,0.31946
"437.276497705429/35.9711883782175",21,0.095238,1.0212,0.31946
"446.843997721606/68.2139794156932",21,0.095238,1.0212,0.31946
"447.766765004028/37.8667442640931",4,0.095238,1.0212,0.31946
"465.968229875749/272.513231504687",21,0.095238,1.0212,0.31946
"468.306491270454/39.437912417182",21,0.095238,1.0212,0.31946
"468.72564892054/56.7613246396936",4,0.095238,1.0212,0.31946
"470.991634365961/64.2426423675964",21,0.095238,1.0212,0.31946
"487.95041106195/51.6384898643326",4,0.095238,1.0212,0.31946
"502.323668254077/30.4239426525941",21,0.095238,1.0212,0.31946
"518.742492704525/55.5043549680594",4,0.095238,1.0212,0.31946
"520.422345827947/69.925219934799",21,0.095238,1.0212,0.31946
"524.771301896338/58.7586508947459",21,0.095238,1.0212,0.31946
"546.867022172636/69.013880721128",4,0.095238,1.0212,0.31946
"563.94489270935/89.1852048757076",4,0.095238,1.0212,0.31946
"569.356746805723/36.2761482676552",4,0.095238,1.0212,0.31946
"584.642442152476/56.6310626612745",4,0.095238,1.0212,0.31946
"589.382827854257/30.2658819622128",4,0.095238,1.0212,0.31946
"617.854996443373/67.5344605170602",4,0.095238,1.0212,0.31946
"632.661640165811/55.4811019791341",4,0.095238,1.0212,0.31946
"638.308620003529/26.6217953724785",21,0.095238,1.0212,0.31946
"641.365467201781/45.3078481328601",4,0.095238,1.0212,0.31946
"643.863857322444/67.7214627050829",4,0.095238,1.0212,0.31946
"643.907645358795/38.2380473668953",4,0.095238,1.0212,0.31946
"648.798201256581/260.432539558621",21,0.095238,1.0212,0.31946
"648.89141651591/67.1328012773671",4,0.095238,1.0212,0.31946
"655.335475374926/26.0083255112391",21,0.095238,1.0212,0.31946
"668.473650947032/29.3029218229495",4,0.095238,1.0212,0.31946
"690.531060904205/56.0943795977874",4,0.095238,1.0212,0.31946
"704.915480325396/66.1232527247573",21,0.095238,1.0212,0.31946
"711.07063784404/39.1072823775725",21,0.095238,1.0212,0.31946
"728.558123391231/30.9421820929309",21,0.095238,1.0212,0.31946
"737.917220266213/128.763985931822",4,0.095238,1.0212,0.31946
"746.569451102808/42.8174959267286",21,0.095238,1.0212,0.31946
"766.529696669042/38.8937206435617",21,0.095238,1.0212,0.31946
"779.512404020136/27.3599617694734",4,0.095238,1.0212,0.31946
"784.586691223944/39.3992989581308",21,0.095238,1.0212,0.31946
"794.568836885151/38.9893541278282",21,0.095238,1.0212,0.31946
"806.896512265634/67.8705457960225",21,0.095238,1.0212,0.31946
"816.572265288247/36.8799697921316",4,0.095238,1.0212,0.31946
"837.792134728506/67.3056308669118",4,0.095238,1.0212,0.31946
"897.887102484531/67.9585770593063",21,0.095238,1.0212,0.31946
"928.345619102171/66.6780744015143",21,0.095238,1.0212,0.31946
"1010.85650239141/67.7630587128012",21,0.095238,1.0212,0.31946
"1059.27710504499/67.8827798868603",4,0.095238,1.0212,0.31946
"195.968229000355/142.706991771438",4.5,0.10487,0.97935,0.35084
"128.982411354844/128.218839614322",20.5,0.106,0.9747,0.35084
"178.567742253157/142.416611512894",20.5,0.106,0.9747,0.35084
"440.976952950089/67.53203396435",20.5,0.106,0.9747,0.35084
"528.809369964056/137.982789550027",20.5,0.106,0.9747,0.35084
"588.91096156733/68.6626084957797",20.5,0.106,0.9747,0.35084
"694.88063208016/61.9161897803198",20.5,0.106,0.9747,0.35084
"729.932252494504/54.0011429369868",20.5,0.106,0.9747,0.35084
"832.448989025895/56.4279614790973",4.5,0.106,0.9747,0.35084
"981.822787102006/68.2083961311855",20.5,0.106,0.9747,0.35084
"559.383301814126/29.2423639848187",4.5,0.11273,0.94796,0.37263
"167.012874777194/126.727345316089",20.5,0.11496,0.93945,0.37917
"156.042140246888/61.7677227729049",20.5,0.11607,0.93527,0.37917
"460.69412041648/56.2065298527155",4.5,0.11607,0.93527,0.37917
"464.73165401923/56.8340029780703",4.5,0.11607,0.93527,0.37917
"473.297382936285/40.1770361398907",20.5,0.11607,0.93527,0.37917
"528.827369856291/132.548958828471",4.5,0.11607,0.93527,0.37917
"754.568896053253/53.6474527627223",4.5,0.11607,0.93527,0.37917
"826.537804771135/33.7945299231869",20.5,0.11607,0.93527,0.37917
"1229.42713573987/67.9343620797054",4.5,0.11607,0.93527,0.37917
"105.09740999037/46.4188100658652",20,0.1188,0.92519,0.38356
"266.888951678018/136.410560761555",20,0.1188,0.92519,0.38356
"372.960469960165/51.7265236803728",20,0.1188,0.92519,0.38356
"717.066859079709/60.9260384842176",20,0.1188,0.92519,0.38356
"786.924057371793/60.3598372983342",20,0.1188,0.92519,0.38356
"826.866450327482/69.0586733113778",20,0.1188,0.92519,0.38356
"971.298878314009/67.3097406403449",20,0.1188,0.92519,0.38356
"994.131532051484/67.7157759368444",20,0.1188,0.92519,0.38356
"1175.26398610786/67.5742384982361",20,0.1188,0.92519,0.38356
"211.958810721542/135.931382496348",20,0.13138,0.88147,0.39459
"468.8142426379/58.6801662769946",20,0.13138,0.88147,0.39459
"624.590535291389/29.4734377987596",20,0.13138,0.88147,0.39459
"763.732242407646/55.9917322616244",20,0.13138,0.88147,0.39459
"834.741923119497/66.3336352209",20,0.13138,0.88147,0.39459
"90.5312589506411/140.746795924679",20,0.13879,0.85764,0.39459
"91.3078131109236/132.001920797402",20,0.13879,0.85764,0.39459
"135.493307510665/127.745619249277",20,0.13879,0.85764,0.39459
"202.00333003027/132.121891975019",5,0.13879,0.85764,0.39459
"232.854710824745/62.8164201110584",5,0.13879,0.85764,0.39459
"234.851782447911/62.7242827689186",5,0.13879,0.85764,0.39459
"250.825983529922/63.5344566571712",5,0.13879,0.85764,0.39459
"250.880468997871/46.8688959696707",5,0.13879,0.85764,0.39459
"286.941930272096/132.181788121695",5,0.13879,0.85764,0.39459
"288.944920823943/119.719039880803",5,0.13879,0.85764,0.39459
"291.76019304056/97.5298989230414",5,0.13879,0.85764,0.39459
"304.690440219141/140.182040614969",20,0.13879,0.85764,0.39459
"308.784263715628/62.8335329603346",5,0.13879,0.85764,0.39459
"310.781897709787/63.9305497921869",5,0.13879,0.85764,0.39459
"322.761443647705/59.2928784644407",5,0.13879,0.85764,0.39459
"324.758617293608/62.0315999942165",5,0.13879,0.85764,0.39459
"332.810599156118/65.5856877461915",5,0.13879,0.85764,0.39459
"338.965316509303/37.6608577458918",20,0.13879,0.85764,0.39459
"344.001869487234/65.5913083702364",5,0.13879,0.85764,0.39459
"347.003658838758/62.8100872286589",5,0.13879,0.85764,0.39459
"350.824708643181/65.377709119209",5,0.13879,0.85764,0.39459
"359.976011730501/69.4516956720595",5,0.13879,0.85764,0.39459
"360.978915490962/62.7268609992993",5,0.13879,0.85764,0.39459
"362.977706887539/69.313519721908",5,0.13879,0.85764,0.39459
"368.787378802619/62.1118995058865",5,0.13879,0.85764,0.39459
"392.254772618283/33.6124011071689",20,0.13879,0.85764,0.39459
"402.964673197205/60.2654861026392",5,0.13879,0.85764,0.39459
"406.785121864594/63.8227898332956",5,0.13879,0.85764,0.39459
"421.92134630849/61.4622011343122",5,0.13879,0.85764,0.39459
"433.242096926391/29.0533800161467",20,0.13879,0.85764,0.39459
"434.912042846983/63.3158566205536",5,0.13879,0.85764,0.39459
"442.983158375599/62.8863588804622",5,0.13879,0.85764,0.39459
"444.204182936723/40.9036198030064",5,0.13879,0.85764,0.39459
"466.922652051511/64.8245468438496",5,0.13879,0.85764,0.39459
"476.897716565699/65.4091823134831",5,0.13879,0.85764,0.39459
"478.754138569146/57.4779689308648",20,0.13879,0.85764,0.39459
"486.988084126841/70.7750262537666",5,0.13879,0.85764,0.39459
"494.867987719861/62.9517251426583",5,0.13879,0.85764,0.39459
"575.848687092756/70.9844339920855",5,0.13879,0.85764,0.39459
"582.729440593121/62.8830204233559",20,0.13879,0.85764,0.39459
"598.703941239222/63.2026505547203",20,0.13879,0.85764,0.39459
"607.019900558938/62.6147968445923",5,0.13879,0.85764,0.39459
"632.927759595069/62.6985939943921",20,0.13879,0.85764,0.39459
"666.927131610637/63.3172236296519",20,0.13879,0.85764,0.39459
"724.825497386406/69.4081755871907",5,0.13879,0.85764,0.39459
"724.825501322956/69.4156717615569",5,0.13879,0.85764,0.39459
"752.573186276258/55.847440641027",5,0.13879,0.85764,0.39459
"755.12839761508/61.1416428530897",5,0.13879,0.85764,0.39459
"758.816979242479/69.5764255770104",5,0.13879,0.85764,0.39459
"822.319690499096/68.9058378336289",5,0.13879,0.85764,0.39459
"866.787056789334/78.462377815893",5,0.13879,0.85764,0.39459
"929.823557011882/68.0118090736502",20,0.13879,0.85764,0.39459
"1018.73390706725/70.6861313415563",5,0.13879,0.85764,0.39459
"1030.76794707819/69.6120091707595",5,0.13879,0.85764,0.39459
"1112.65559116806/84.2218444969643",5,0.13879,0.85764,0.39459
"144.004335013603/104.960298181964",20,0.14246,0.84632,0.39459
"235.092485749223/135.824454218535",5,0.14246,0.84632,0.39459
"331.284089941919/24.8666557151026",20,0.14246,0.84632,0.39459
"336.326082221106/27.2207709947985",20,0.14246,0.84632,0.39459
"396.735948465269/59.4231499711907",20,0.14246,0.84632,0.39459
"439.252883759033/34.4937797530018",5,0.14246,0.84632,0.39459
"440.200214217952/94.801168883521",5,0.14246,0.84632,0.39459
"448.841777740883/63.0699779497057",20,0.14246,0.84632,0.39459
"467.990676680619/83.4727855860499",20,0.14246,0.84632,0.39459
