"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"117.990447182161/105.350131345705","1312041","1725314.333","122718.8333","1635963","515643.5","2080959.667","122718.8333","3938731","122718.8333","122718.8333"
"118.049846544299/146.750700451609","3323092.333","1252714.333","5583868.333","1002057","1595640","2888064.333","5992039.667","1701777.333","3430486.333","2990989"
"118.062520806163/63.1697704457412","6185035.333","5917172.667","5392888.667","6425674.333","7597143.333","2451504","1996509.667","2091116.333","2284155","2281261.667"
"118.065095052077/39.1789231038844","4188047.667","5270961.667","5917577.333","7174465","6606454","3028908.667","4017592.667","5407583","4218776","2787279.333"
"118.086220911812/64.4970233506679","1181102692","1070879877","1120496631","1193189452","1489397330","512309794.7","513100004","529785910","545447187.7","635786116.3"
"118.098872865436/229.53612685339","4758413.333","5069610.667","1724345.333","3702155","4978670.667","8196266","3209098.667","4827992","4405305.333","3075256.667"
"118.1098487204/56.3463174514717","6498144.667","5919508.667","5576941.667","6426789","8616700.333","2413147","1939398.333","3052033","2380395.333","4093405.333"
"118.122607034721/223.7007693403","1017694154","179168335.3","1972729113","375971003.7","1641396345","1259471318","298220952.7","991881299.3","952951220.3","1986786329"
"118.889038696625/56.6125066751292","989661.3333","994112","122718.8333","1102180.333","1201717","1289290.667","3626165","605267.6667","3980791","6677104.5"
"119.001074140262/123.885814360406","262794104.7","455503560.7","1005388700","10467909","490711035.3","577593806.7","902111350","843893702.3","815988894.7","925024552.7"
"119.081539904225/171.41513828001","2935203","1203873.333","2699937.667","1088821.667","802391","3056430","9919844","3426354.333","2386281.667","2404727.333"
"119.083357438442/62.4936238943776","3836160.333","3492783","3397708.333","3749582.667","5003363.667","1460505","4253177","1276162","1230711.333","1374252"
"119.089671060396/52.6887138697839","62386344.67","57284486.67","61354639.33","61726223.33","75130503.67","25081962.33","26522025.67","28197398.67","28729445.33","30878576"
"119.092529448/64.1842110614341","1574991.667","1814966.667","2590604.333","1573771.333","2420209","559709.6667","4082156.5","724610","458566.3333","651469.5"
"119.12601558676/204.345135054402","47122340.67","62820584","41654263","11144877","42284893.67","150383139","5958038","41870744","140663076","119154719.3"
"119.126048602973/251.587563542465","85360374.33","80738855.33","47673575","68954647.67","53221688.67","96061932.33","42030119","54693990.33","95594781.67","158530432"
"119.502746586722/116.481407904701","30275169.33","29873024.67","27658638","28369326.67","10612251","23528091.33","36226016","35503533.67","36291648.33","13099717.33"
"119.514405952162/109.801077017819","79426","613838.5","1166982.333","122718.8333","477743","122718.8333","1055544.5","5934432","1808968.5","2102197.333"
"120.012813158537/110.259862984793","122718.8333","122718.8333","1661733","122718.8333","122718.8333","122718.8333","10565931.5","860373","1542506.667","1971376"
"120.044394838938/31.3117896929622","79569734","81506731","123141543","87836180.67","95659334","27691133","53067500.67","46371301.67","54536237.67","61402978.33"
"120.065569248837/64.0091291918488","37069705.33","34610213.67","51827634","37664610.33","48635815","8608445","18295831","16630081","22896762.33","25222659.33"
"120.080811130712/52.9447904954522","187452079.7","169905604.3","284612757.7","203944972.7","248155104","75107170","116263229.7","112468776.7","122401891","132660195.3"
"120.090512887998/63.2379041018179","4314852","4127985.667","4281468.667","4500181.667","5154057.333","1904451.333","1485037.5","1630690.333","1511912","1691058.333"
"121.047648837508/36.2985517881303","4709582.333","3845297.333","6473270.667","5106391","6424955","752502","2804887.333","2138960.667","2519030","3205517.333"
"121.064797220465/28.3716316308313","39745102.33","41275334.33","31791554.33","37188684.67","33098100.33","41716970.33","36065735","43537058.33","39559840.33","34860465"
"121.084155081595/46.9712340515778","15176698.67","13881357.33","22475574.67","15912769","20652751","5722873.667","8478605","8790946.333","9981270.667","10665673"
"121.520841168024/186.670093932443","7164766","3634009","18312136.33","7292734.667","8788725.667","2645926.333","6514463.333","7029441.667","8576399","12569389"
"121.996974086601/114.416481306998","744957.3333","1001293.333","4906664.667","966208.3333","845987.6667","1145404.333","4881509.333","2987998","3888229","6435661"
"122.068106851362/27.5340477358082","2463439.333","4488049","1535490","1385444.667","3307304.667","3259544.333","122718.8333","10897953.67","18002127.67","11874253.5"
"122.158282899872/116.020210529994","122718.8333","122718.8333","122718.8333","5277313.5","122718.8333","122718.8333","8017539.667","7669132.5","122718.8333","1332519"
"122.666220085914/112.442836741954","122718.8333","4379295","2023730","122718.8333","122718.8333","122718.8333","2989027.333","4876693","1466430","8157120.5"
"122.986617965905/133.064136980725","3482949.333","1716668.333","2007227","1859692","2286489.333","2372851.667","122718.8333","2202615","122718.8333","122718.8333"
"122.995787193072/123.513618944753","636947","1667740","2349012.333","162898.5","1231156","647350.5","1200351.5","1778452.667","4605543","5466797"
"123.030380940436/73.1006266803009","3448679","313744.3333","16590988","4734814.333","13578491","2213321.667","3137193","3649936.333","4562349.333","5325989.667"
"123.044068912117/64.2117539522898","18386173","15969373.33","21580763.67","21906885","25297217.67","8060620.333","12496544","12115130.33","14177114.33","13991743"
"123.045625889589/138.972461365513","999671.3333","1950478","122718.8333","122718.8333","122718.8333","2340409","3692473","122718.8333","537284.3333","763356"
"123.055287404862/132.760411126183","1361635.333","2130892.667","4017732.333","1308942","1838700.667","1425871.667","3047835.667","1694264","3002053.667","3495712"
"123.416070816202/110.322947754681","122718.8333","1542191.5","1901853.667","122718.8333","122718.8333","122718.8333","3363220","122718.8333","2102334.5","122718.8333"
"124.039365343756/46.3405046741807","150501924.3","138651857.3","254251974.7","159734308.7","193732014.7","51548557.33","144181234.3","115121828.7","131355908.3","163186204"
"124.039405723294/229.9549305435","6582371","3333614.667","7109099.667","5258943.5","4022782.333","5792141.333","6401991.333","10071836","9329524.667","6351667"
"125.007268287878/127.612044202619","381268.6667","122718.8333","2630868.5","545856.3333","2808817","2511105.667","122718.8333","122718.8333","122718.8333","122718.8333"
"125.042686039455/35.6377830694489","8865607","8050196.667","15510704.33","9409470.333","11382949","2651852.667","8240684.333","7090224.333","7793856.333","10050703.67"
"125.959965397085/137.351027595692","3384353.333","3558526","2838939","3396474.667","3242215.667","2301181.667","1775055","1757808.667","1834266.667","2085508.667"
"125.98628236383/143.941494591332","739284456","895941521.3","798903543.7","820283416","791489645.7","641715980","607184143","554878174.7","511008516.3","527961913"
"126.034771534404/108.694519836555","122718.8333","122718.8333","1686860.5","4885929","122718.8333","3227498.5","13565492.67","8090540","1094651","16274828.67"
"126.054987840338/187.250212219119","38168752.5","30482322.67","6830791.333","68769437.5","2503324","33189225","22668337","41974738.33","19514163.67","14656349"
"126.147031653884/102.305221421706","2533689.667","5451052.667","3125572","2537948","3012162.667","4340627.667","7204846","4385863.333","5533815","3226976"
"126.365373445439/134.255169885188","122718.8333","2123904","333554","122718.8333","5147001","122718.8333","4290460.5","15857.5","122718.8333","122718.8333"
"127.122987857065/25.8687409390982","730150.3333","20291389.33","209719.5","1223324","128927.3333","113467.5","12925594","212437.5","2300712","91003"
"128.006286842577/116.456455379126","57654850","34230172","35093275","53984762.67","36738737.33","63738908","65691288","63371671","19962709.5","34347308"
"128.049742994351/105.702724423268","4018471.5","2431816","4924580","5063333.333","1568382.667","1515790.667","122718.8333","18727778.67","1481301.5","3768410.5"
"128.117032454823/25.6099100424312","3599878.333","5070625","3931319.333","5605955","5632166","6583546.667","4145056.333","4229248","3878852","5338918.667"
"128.982411354844/128.218839614322","1234632.667","2511228.667","122718.8333","3895902","4062885.333","1503465","122718.8333","122718.8333","122718.8333","1424784.5"
"128.98594045486/127.477313381428","2420283.333","1546562.333","122718.8333","1222006.5","1958339.333","3089920.5","122718.8333","122718.8333","122718.8333","122718.8333"
"129.014524935361/106.920146138186","749630","4163046.5","5096195","3095617.5","1809681.333","4107271","670131.6667","608631","1408062","1974422"
"129.022613238145/108.614017440945","1195903","2963863","1546275","2725018.5","1369834","1153647.333","2236247","3404678","4101086.333","3881581"
"129.065860883482/235.415613270479","10406518.67","2829179","3654014.667","661423.6667","1330659.333","5609785.333","3074626.667","3731873.667","1467888.333","1026294.333"
"129.065876362157/74.0663123817727","3461509","782506.6667","2273889.333","459294","285623.3333","666444.6667","2888838.667","785280","1935104","3108475.333"
"129.102263092368/48.4007876098735","3717302","3128239.333","11060178.33","3735068","2111435","1516708.333","4140859.333","4420468.333","5584148.667","6982394.667"
