"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"257.074444896574/84.606784837135","16138379.33","58882.33333","4881380.667","100889.3333","89422.5","3344417","11878961.67","5637628.667","9564237.333","18595711.33"
"257.09952037974/236.743618730552","133573","727236","385100","357464.6667","206018.6667","1004581.667","516772.6667","504860","651981.3333","114560.5"
"257.148726871491/60.5116418246889","5877302.667","5003889.667","12434433.33","3698811.333","6190791.333","3068737.333","5861799","2830147.667","4531977","3637429.667"
"257.303202125991/25.4783231037882","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","57862","122718.8333","52524","1624156.333","122718.8333"
"257.523525753418/157.532012854721","901080.6667","799822.3333","8713170","882197.6667","904867.3333","521857","3635741.333","1592126.333","2566858.667","4738747.667"
"257.994646215024/54.0483715816731","11355241.67","9791413","16522119","12462926.33","14536616","5994819","10009918.33","9202158","9927494.333","10409280"
"258.110161304499/123.810130411723","73589861.67","77506958.33","119876150.3","81991520","91145684","27355973.33","39873887.33","39503084.67","35292051","45204477.67"
"258.168832847151/81.7240045021657","122718.8333","122718.8333","3228292.667","592531.5","394349.6667","122718.8333","122718.8333","122718.8333","787269.3333","1002425"
"258.444081040968/138.866946327473","1744541","1811996.5","122718.8333","1872215","819759.5","3031788.333","122718.8333","769732","1258604.5","1395995"
"258.896658926244/66.0658977087835","314900","467568.5","1150676","423436","122718.8333","452190.5","122718.8333","700714","1141974","122718.8333"
"258.990136432305/62.0393023961734","11147762","12124860.33","6470707.667","11163394","12947100.33","5855927.333","122718.8333","5354975","3543490.667","2301442"
"259.022371585945/267.956147328856","122718.8333","122718.8333","122718.8333","122718.8333","122718.8333","474270","122718.8333","122718.8333","641266.5","122718.8333"
"259.109441562085/42.3107437256376","934631.5","671589.3333","122718.8333","122718.8333","122718.8333","122718.8333","545948.5","122718.8333","426168","389705"
"259.113456628885/121.603204825642","6097916","7186398.667","13185920","6866550.667","7428303","1771341","2193937.5","2608240","2188034.333","2617542"
"259.115205161026/43.2111399662594","889877","1466916","122718.8333","1002261.333","122718.8333","1358889.667","6024517.333","1673614","1277913","1545175"
"259.151866126248/72.1399614231544","413643","157205.5","122718.8333","1190271.5","122718.8333","1199426.5","122718.8333","122718.8333","122718.8333","122718.8333"
"259.433830985244/118.595683838583","122718.8333","122718.8333","1168379.333","122718.8333","122718.8333","4677925","122718.8333","122718.8333","2005085.5","122718.8333"
"259.947645151028/121.732883771099","122718.8333","122718.8333","12578021","122718.8333","122718.8333","122718.8333","24492729.33","1911690.333","8737769.333","49699052.33"
"259.991792190467/55.2844989077705","3689577.333","3161467","4834091.667","4210230.333","5019392","1662297","6275406.333","2649673.333","3149809.333","3008852.333"
"260.001305303225/194.159653446544","122718.8333","122718.8333","6907739.667","122718.8333","1056127.667","122718.8333","6324225.667","7484036.667","6470491","4789351.667"
"260.001423590701/263.589511873276","122718.8333","122718.8333","779322","285538","393454","122718.8333","295101.3333","979246","38473","186123.3333"
"260.124145496542/80.2452385393068","1674332.667","2119444.333","4215250","2277161.333","376897","323292","1395909","686412.3333","565917.5","690645"
