"","DW_20180105_013","DW_20180105_037","DW_20180105_061","DW_20180105_097","DW_20180105_121","DW_20180105_019","DW_20180105_043","DW_20180105_067","DW_20180105_103","DW_20180105_127"
"Label","N2","N2","N2","N2","N2","swip10","swip10","swip10","swip10","swip10"
"250.428614009361/116.051066863329","-0.86902739","-0.91483410"," 1.07072465","-0.91483410","-0.80414547","-0.91483410"," 0.85437194"," 0.04502828"," 0.89689923"," 1.55065106"
"250.825983529922/63.5344566571712","-0.9349822","-0.9697595"," 0.9074277","-0.9697595","-0.8857227","-0.9697595"," 0.9143341"," 0.8644349"," 1.1332280"," 0.9105590"
"250.880468997871/46.8688959696707","-1.07911920","-1.11075487"," 0.80461041","-1.11075487","-0.09329642"," 0.73488552"," 0.92113560"," 1.03711477"," 1.00693392","-1.11075487"
"250.929735996356/126.476019450446","-0.7573215","-0.7946286"," 1.1697217","-0.7946286","-0.7044786","-0.7946286"," 1.0383030"," 1.2091942"," 1.2230957","-0.7946286"
"250.960464103792/101.096094531695"," 0.3134730"," 0.5550758","-1.4303531"," 0.8408537"," 0.5472501"," 0.8670479","-1.4303531"," 0.6737980"," 0.4935608","-1.4303531"
"251.016240008994/116.405301106572"," 0.9374504"," 0.8678456","-0.5494973","-0.5018175"," 0.2713932","-0.8567660"," 1.9580576","-1.3746382","-0.3851810","-0.3668467"
"251.160808002593/80.06327102257"," 0.15725229"," 0.03271903","-0.55901039","-0.02068590"," 1.45910248"," 1.44133550"," 0.73279093","-1.45817399","-1.20722589","-0.57810407"
"251.173464117299/81.7350705977098"," 1.06023531"," 0.21584397","-0.16404785","-0.04264751"," 1.49867073"," 0.94279268","-0.36716545","-1.70636387","-1.26008319","-0.17723481"
"252.918442559104/157.446732139453","-1.36785166"," 0.04467943"," 0.82555890"," 0.26876770","-1.09422921"," 0.39017656"," 1.33134330","-1.54489975"," 0.89514137"," 0.25131336"
"252.9881161174/62.8611721505181"," 0.1176005"," 1.5978630","-0.5720956"," 0.7451791"," 1.2318198","-0.6990576"," 0.3548522","-1.2049646","-0.1805497","-1.3906470"
"254.018762734111/102.530471007392","-1.3753215"," 0.4634475","-0.5766824"," 0.4181249","-1.5442877","-0.1842255"," 1.3472853"," 0.6169633"," 1.2609630","-0.4262670"
"254.159892956957/20.2426272686029"," 0.4115319"," 1.3143429","-1.9353863"," 0.5884977","-0.5753409"," 0.6647886"," 0.9479263","-0.1295706","-0.1459678","-1.1408217"
"254.501288385257/141.944735418222"," 0.77091482","-1.43608452"," 1.00902990","-1.43608452","-1.33914875"," 0.02500822"," 0.66028462"," 0.54324957"," 0.51647398"," 0.68635667"
"254.899446554194/43.1352413685844","-1.1506245","-1.0083675"," 0.8542537","-0.9375677","-0.7291024","-0.8577205"," 0.7513316"," 1.1232302"," 1.1303998"," 0.8241674"
