"","DW_20180105_014","DW_20180105_038","DW_20180105_062","DW_20180105_098","DW_20180105_122","DW_20180105_020","DW_20180105_044","DW_20180105_068","DW_20180105_104","DW_20180105_128"
"Label","n2","n2","n2","n2","n2","swip10","swip10","swip10","swip10","swip10"
"117.159400478181/33.9299968137705","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","3244134","4972010.5","11696.625","5848.3125","1732805.5"
"117.267498828881/201.419221667006","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","654157.3333","261683.3333","5848.3125","5848.3125"
"117.295035141178/262.503837265589","1747600.333","1615412.333","2058050.667","1282893.667","1996463.333","715827.6667","2375007","2003342.667","1454530","2954314.333"
"117.644843352966/219.60717493724","1819290.667","2340977.667","2952697.667","1422567.333","1470454.667","364464","23976752.33","3312144.667","2759482.667","3830977"
"117.962184724126/146.933627518959","691343","980766.6667","690076","824353.3333","880510.3333","623323.3333","782291.5","564214.6667","856611","556940.3333"
"118.022716518861/21.1646869683736","1739151.667","1630296","4170883","681343","924727.3333","2517161.5","23393.25","3336151.5","8987908.667","5848.3125"
"118.041280649577/25.3178223011023","46772764","40647766.67","59235773.33","50073135.67","67889305.33","22714894.67","37779040.67","35781027.33","39478184.33","46632055"
"118.051011710586/18.2395310240374","1965166.667","3154630.333","2995309.333","3186727.667","2288140.333","189991.3333","549212.3333","640174","428128","2519546.333"
"118.349383051181/180.632706345815","253218.3333","224013.3333","323248","149707.6667","255808","151519.3333","4706563.667","407324","107046","146476.6667"
"118.703850313222/170.238313569184","396135.6667","563741.3333","145227","591848","339118.6667","497905","388005","1315033.667","312095","481872"
"118.703877816199/216.191937802197","1654328.333","2122567.333","639890","2155622.333","1744990.333","1941278","653981.6667","3063112","530959.6667","1046889"
"118.942067778955/135.398607433675","935641.3333","730950.6667","1031227","321927.6667","1146645.667","911110.3333","1730246.667","3128587","3713355","3411057.667"
"119.383210618192/227.208983565265","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","781576","11696.625","5848.3125","5848.3125"
"119.418041129091/177.813307583954","1083529.667","945366","164356.6667","212719.6667","658896.3333","323090","213618","179321","185179","915308"
"119.777281247296/253.191830249868","728989.6667","1007955.667","1801644.667","755895","835476","330357.6667","2337991.5","484458","557442","625622.3333"
"120.865157595331/239.735746642546","639979.3333","1042245","799884","1079204.667","403244.6667","811394.6667","1821275.667","754761.3333","1046389.667","1402179.667"
"121.004871250132/41.6055776212797","35893","1292756.5","675929","1462.078125","731.0390625","786299.5","23393.25","11696.625","5848.3125","5848.3125"
"121.944093203876/42.4115762540567","424926.3333","840084.6667","2021756.5","308261.6667","558798","369734.6667","948127.5","94646.33333","1083397.667","324499.3333"
"122.024782112246/164.598499667585","3698566.333","3632413.5","5970397","7339297.667","2551884","3193771","1757542.667","3965440","2491546.5","5712251.667"
"122.032882246607/37.3913878297666","482521.3333","699996.3333","541786","367002.3333","550483.3333","648904","871597","425743.6667","431264.6667","1483271"
"122.045087127134/26.3297394800612","1326598","1394746.667","1423053.333","1627153","2218782","2091944","2580439","2522868.667","2173554.333","2905528"
"123.043164237815/37.6245742288406","2773022.333","2397391","11345202.33","2989472.667","2226406","2128843","5502182.333","7836629.667","8008491.667","9659751.333"
"123.048462672134/32.9154333304977","33882640.67","29293572.33","44575602.67","37029628","50516692.33","17179144.33","24660910.33","26131234","30232856.33","34403699.33"
"123.544829359473/38.4277016501251","2186890","1462.078125","2853877.333","419850.6667","1525145","660189","3075257","2816411","2664023","3594444.5"
"124.040350793271/33.4011716633045","1722594.333","1854793.333","1382027.333","1647928.333","1486431","1705082.333","2641763","1367744","1285723","724756.3333"
"124.984305754677/266.198011845253","1337241","1312875","2036658.667","1192904.667","1607365.333","530880.3333","2281899.667","2087508.667","1641654","1966203"
"125.001113093368/21.6416367916692","2924.15625","1462.078125","1462.078125","1462.078125","731.0390625","46786.5","23393.25","3571008","5848.3125","5848.3125"
"125.035653992248/148.271272544575","1609725.333","778461.6667","831298.3333","462731","755781.3333","292230.6667","1182406.333","611943","568228.3333","1138071.333"
