"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"117.159400478181/33.9299968137705",0.010304,-0.032559,-0.0050068,0.024101,0.0095499,0.011362,0.022393,-0.00645,0.0088143,0.0068352
"117.267498828881/201.419221667006",0.022755,-0.015326,-0.017602,-0.020672,-0.016287,-0.020089,0.017892,0.015648,0.0024002,-0.0055867
"117.295035141178/262.503837265589",0.023153,0.023852,-0.0021369,0.0096602,-0.014885,0.020374,0.0055489,0.026374,-0.0025271,0.0011122
"117.644843352966/219.60717493724",0.032514,0.0056432,-0.019489,-0.0039545,-0.016817,-0.0012424,-0.0066448,0.0030941,-4.4708e-05,0.0050468
"117.962184724126/146.933627518959",-0.0054475,0.020021,-0.028994,0.010849,0.023762,-0.010407,-0.01876,-0.020901,-0.020401,-0.0046674
"118.022716518861/21.1646869683736",-0.02184,0.0066868,0.016104,-0.029296,0.011117,-0.015483,-0.026107,0.010945,-0.01869,0.0090436
"118.041280649577/25.3178223011023",-0.020128,0.033207,-0.0033336,0.011206,0.009485,0.0033255,0.0055062,0.0031874,0.014659,0.0007006
"118.051011710586/18.2395310240374",0.0031876,0.036465,-0.011842,0.0018128,-0.010968,0.024956,-0.00022096,-0.010087,0.0079736,0.012816
"118.349383051181/180.632706345815",0.027329,0.0043548,-0.029472,-0.0099769,-0.0030112,-8.704e-05,0.0093404,0.019028,0.0036772,-0.00071316
"118.703850313222/170.238313569184",-0.0024005,-0.0088306,0.0048595,-0.018052,-0.046301,-0.012807,0.035717,0.0043621,0.009706,0.0034691
"118.703877816199/216.191937802197",-0.025858,0.0028458,-0.0013513,-0.014308,-0.025911,0.0021751,0.035693,0.010172,0.0035538,-0.0090348
"118.942067778955/135.398607433675",0.021788,-0.0091825,0.025589,0.013951,-0.011518,-0.007724,-0.0093984,0.03012,-0.021221,-0.009605
"119.383210618192/227.208983565265",0.022899,-0.015819,-0.032908,0.00083096,0.0032864,-0.012821,0.0065381,-0.00091299,0.0064379,0.00092146
"119.418041129091/177.813307583954",-0.0070637,0.0089366,-0.02035,0.037865,-0.010215,0.038125,-0.0029104,0.012701,-0.0063344,-0.012334
"119.777281247296/253.191830249868",0.020381,0.018256,-0.030467,-0.0087276,0.01623,0.015469,-0.0070074,-0.0033872,-0.00094872,0.0027057
"120.865157595331/239.735746642546",0.0208,-0.017373,-0.0060751,0.0042904,-0.0049841,0.014021,-0.0087679,-0.044618,0.02156,-0.002485
"121.004871250132/41.6055776212797",-0.016985,-0.010459,-0.0060075,-0.021764,0.019511,0.038342,-0.01205,-0.0094177,-0.026625,-0.0090997
"121.944093203876/42.4115762540567",0.0078605,0.0071619,-0.017819,0.01334,0.038995,0.013872,-0.032122,-0.019556,-0.015815,0.0053826
"122.024782112246/164.598499667585",-0.016664,0.016611,0.017714,-0.014199,-0.0012292,0.028747,0.010737,-0.018745,0.033464,0.0067595
"122.032882246607/37.3913878297666",0.015095,-0.011316,-0.0043476,0.03533,0.006082,0.040855,0.013707,-0.0027646,-0.0084807,0.006027
"122.045087127134/26.3297394800612",0.011517,-0.011632,0.02257,0.026795,0.0029207,-0.022159,0.035104,0.016726,-0.0050655,0.005202
"123.043164237815/37.6245742288406",0.026242,0.004089,0.03095,-0.013957,-0.0016156,0.0091947,-0.01306,0.0057145,0.0067122,0.010433
"123.048462672134/32.9154333304977",-0.01929,0.033932,0.0039169,0.012995,0.011284,0.0070522,0.0019509,0.007156,0.0034894,-0.0072182
"123.544829359473/38.4277016501251",0.018698,-0.0010587,0.01688,0.0093689,0.019162,-0.012474,0.00023882,0.042655,0.030703,0.0009889
"124.040350793271/33.4011716633045",-0.014053,-0.0064594,-0.039439,-0.020376,0.015032,-0.014612,-0.0033604,0.005136,-0.0011703,-0.0067383
"124.984305754677/266.198011845253",0.02784,0.024586,7.8946e-05,-0.0049166,-0.011639,0.0031123,-0.0035804,0.020255,-0.0032293,0.0060915
"125.001113093368/21.6416367916692",0.0047435,-0.0026222,0.018346,-0.035654,-0.031904,-0.014903,0.020345,0.0274,-0.0053276,-0.0037506
"125.035653992248/148.271272544575",0.01679,0.01822,-0.018582,0.014276,-0.012318,0.025351,-0.017411,0.028994,0.011634,-0.0016804
"125.675510200351/202.143393450708",-0.014006,-0.00036128,-0.012396,0.0069876,-0.010658,0.014212,-0.029569,0.042586,0.03291,-0.0052513
"126.926628332816/216.34690214347",0.0034634,0.0068562,0.025439,0.033464,-0.010804,-0.0092822,-0.03118,-0.017884,-0.024303,0.0067385
"127.001227431141/256.204606936118",0.007833,0.0027434,0.0018209,0.02235,-0.017431,0.052198,0.007357,0.018514,-0.016884,-0.0027242
"127.010053868031/194.811958466667",0.013665,-0.0025569,0.028939,0.0014582,-0.034942,0.014133,0.025912,0.0135,0.0044314,-0.0036697
"127.320193024749/264.311005419173",0.022166,0.0061711,-0.032645,-0.00089742,-0.01619,-0.0030217,0.01144,-0.023553,-0.0075936,0.0012253
"127.71655356488/186.701169356229",0.010161,-0.014391,0.01928,0.028422,0.030024,-0.0050966,0.026377,-0.0060153,0.020984,0.0027032
"128.035352920412/23.2035682829998",-0.02208,0.031297,-0.0068903,0.00073349,0.0018549,0.0026103,-0.01987,0.0010475,-0.0050704,0.0063683
"128.079774900039/41.513838469115",0.0078707,0.030948,-0.009712,0.030013,0.020816,0.015173,-0.0017126,0.00064488,0.0070935,0.0045191
"128.113645612122/221.992515317587",0.017161,-0.0071281,0.017663,0.020395,-0.0090347,0.016941,-0.027258,0.035321,0.018041,-0.00088691
"128.914573486745/230.826201933562",0.017969,0.01652,-0.020356,0.0081329,-0.027764,-0.013118,0.006585,0.015113,-0.030571,-0.0065702
"129.008063899384/84.4331704142095",0.018231,0.030905,-0.018922,-0.0076436,-0.015597,-0.0054483,0.0034656,0.0075269,0.0036734,0.00067548
"129.017057812493/126.566526854257",0.020784,0.0053359,0.013867,-0.0033587,0.025594,-0.019127,0.031719,0.0014293,0.02721,0.00074724
"129.019394827053/38.2212926610775",-0.021392,0.030458,-0.016634,-0.0012749,0.0081306,0.010346,0.0028379,-0.0069569,0.00404,-0.0084127
"129.055780707897/68.3218966465239",0.015931,0.03326,-0.0038423,-0.0012509,-0.024991,-0.0012492,-0.015015,0.0013811,0.0037034,0.0004282
"129.476531724486/39.2391927942613",-0.013438,-0.001627,0.006394,-0.027041,0.018899,0.011329,0.02428,0.013037,-0.047542,-0.004596
"129.48118626982/258.301371520104",0.0012168,0.013913,0.016692,-0.042887,-0.0087048,-0.012339,-0.017932,-0.031968,-0.0090304,0.0078447
"129.48740188044/63.2595696810029",0.00079256,0.018262,0.010582,0.029618,-0.0050055,0.0038352,0.03119,-0.028367,0.032016,0.0081543
"129.722301277498/201.832804994975",-0.0071059,0.021277,0.0085895,-0.018357,-0.009437,0.033472,0.0325,0.018724,0.010283,-0.0055697
"129.722360573113/249.34721092176",0.016279,0.028994,-0.018211,-0.012552,-0.023697,-0.0080221,-0.010886,0.0010387,-0.0012935,0.00055033
"130.050992639501/21.4948098388683",-0.02077,-0.0012365,-0.0018037,-0.024573,0.03436,0.0020645,0.032016,0.0091212,0.0080976,0.0074036
"130.057178500994/41.365297439565",0.0030422,0.020826,-0.035049,0.011109,0.021778,0.00051205,0.0079889,0.02133,0.010897,-0.0029289
"130.08738990669/24.9911509384216",-0.018039,0.036148,-0.0024972,-0.0025749,0.0041714,0.010476,-0.0052471,0.0071597,0.001681,-0.0022361
"130.129960353349/241.590026065007",0.012366,0.01883,-0.028892,-0.013072,-0.018384,0.025315,0.010381,-0.015447,0.011379,-0.0081585
"130.538348920721/221.974410179675",-0.009086,0.027356,0.010125,0.018427,-0.017937,0.025469,-0.0099441,-0.0032109,-0.029539,0.00073939
"130.538417180283/249.358396770334",0.017057,0.028769,-0.011927,0.00094525,-0.031757,-0.0072991,-0.010252,-0.00035618,0.0034478,0.0011411
